orbit,bx,phi,eta,pt,charge
3645565,3494,1.7126,-0.685125,3.5,-1
3648707,3500,1.35263,0,3,-1
3648707,3500,1.48353,0,3.5,-1
3649399,3513,3.01069,0,3.5,1
3649399,3515,-0.763582,-0.641625,3.5,-1
3650018,3459,2.08349,-0.380625,22.5,-1
3651045,3540,1.75624,-0.685125,4.5,1
3652106,3543,3.10887,-0.489375,2.5,-1
3652106,3544,-2.08349,0,3.5,-1
3656106,3475,-1.52716,0,7,1
3658662,3455,0.545415,0,11,-1
3658662,3456,-2.03985,0.685125,13,1
3663064,3489,1.24355,-0.641625,7,1
3663064,3491,-2.31256,0.76125,19,-1
3663664,3448,-0.850848,-0.80475,11,1
3664277,3481,-1.55989,0.76125,139.5,-1
3669909,3539,2.03985,0.532875,10.5,1
3669909,3540,2.03985,0.28275,13,1
3674435,3461,-1.88714,0.23925,6,1
3677305,3479,0.938114,0.685125,3.5,-1
3678620,3533,1.99622,-0.80475,19,-1
3681370,3539,1.63625,-0.511125,6,-1
3696758,3463,1.7126,0.511125,28.5,1
3697835,3496,1.7126,-0.80475,3.5,1
3698380,3449,2.61799,-0.184875,12.5,1
3698380,3450,0.545415,0.163125,8.5,-1
3699129,3541,2.73799,0.41325,3,1
3700275,3549,-1.81078,0.76125,32.5,1
3701109,3449,1.82169,-0.424125,7,1
3701109,3451,-0.818123,0,6,-1
3702185,3521,1.62534,0,3.5,-1
3702752,3527,1.49444,-0.45675,110.5,-1
3702752,3529,-2.09439,0.261,82.5,1
3704378,3490,1.51625,0.685125,12.5,-1
3704378,3490,1.79987,0,4,1
3704378,3492,-1.5708,0.80475,24.5,1
3705118,3523,2.01804,0.358875,3.5,1
3712681,3527,1.12356,-0.511125,3,-1
3713250,3480,1.86532,0,3.5,-1
3714529,3451,0.938114,-0.315375,9.5,1
3714529,3452,0.938114,-0.511125,13.5,1
3714529,3453,-2.98888,-0.511125,13.5,-1
3715293,3521,2.34529,-0.424125,3.5,1
3715293,3522,-1.81078,-0.511125,4,-1
3715991,3463,1.87623,-0.511125,64.5,-1
3715991,3464,-1.48353,-0.424125,25.5,1
3716236,3470,1.02538,0,5,-1
3716236,3471,0.992656,-0.511125,6,-1
3721202,3541,0.523599,0.685125,4.5,-1
3723869,3446,1.01447,0,3,-1
3725906,3478,1.59261,0,139.5,1
3725906,3479,1.60352,0,139.5,-1
3725906,3480,-1.67988,0,139.5,1
3726536,3543,1.76715,0.358875,4.5,-1
3728562,3470,1.82169,-0.511125,4,-1
3728562,3471,-1.73442,0,3,1
3728562,3472,-1.73442,0,4,1
3736042,3503,1.14537,-0.184875,10,-1
3736454,3510,1.10174,0.358875,4,-1
3736454,3511,1.01447,0.23925,2.5,-1
3736454,3512,-0.916298,-0.80475,3.5,1
3740830,3526,0.425424,-0.532875,3.5,-1
